     78.12 5.461004e+03 7.708733e+02 2.888363e+03 7.616770e-01
    117.19 6.175635e+03 8.741896e+02 3.448200e+03 9.570210e-01
    156.25 6.049460e+03 8.675717e+02 3.492424e+03 1.259870e+00
    195.31 5.765284e+03 8.335945e+02 3.401287e+03 1.617035e+00
    292.97 5.719471e+03 8.742278e+02 3.520481e+03 2.343430e-01
    390.62 5.912192e+03 8.925224e+02 3.708761e+03 2.965950e-01
    781.25 6.640878e+03 9.993205e+02 4.265806e+03 5.157290e-01
   1562.50 6.758138e+03 1.020072e+03 4.406945e+03 9.984240e-01
   3125.00 6.743668e+03 1.020320e+03 4.433381e+03 1.984941e+00
   7812.50 5.426363e+03 8.769930e+02 3.675463e+03 5.985640e-01
  15625.00 4.145387e+03 7.131498e+02 2.879815e+03 1.527876e+00
  31250.00 3.601031e+03 6.134607e+02 2.494292e+03 3.528055e+00
  46875.00 3.467135e+03 5.951327e+02 2.408678e+03 5.480185e+00
  62500.00 3.339835e+03 5.800477e+02 2.330523e+03 7.551952e+00
 117187.50 3.267420e+03 5.690710e+02 2.282793e+03 1.445597e+01
