     78.12 5.738156e+03 7.930088e+02 3.022497e+03 7.278750e-01
    117.19 6.065949e+03 8.592542e+02 3.390733e+03 9.732410e-01
    156.25 6.059973e+03 8.712528e+02 3.510732e+03 1.253300e+00
    195.31 6.312860e+03 9.156503e+02 3.744762e+03 1.468718e+00
    292.97 6.111075e+03 9.214212e+02 3.782200e+03 2.181270e-01
    390.62 6.186741e+03 9.218119e+02 3.867465e+03 2.844240e-01
    781.25 6.853892e+03 1.033517e+03 4.412470e+03 4.985870e-01
   1562.50 6.681176e+03 1.010282e+03 4.360667e+03 1.009020e+00
   3125.00 6.957084e+03 1.052893e+03 4.573914e+03 1.923954e+00
   7812.50 6.639313e+03 1.032684e+03 4.430937e+03 4.965090e-01
  15625.00 6.371192e+03 1.046578e+03 4.348814e+03 1.011770e+00
  31250.00 5.930772e+03 1.015818e+03 4.115188e+03 2.138420e+00
  46875.00 5.725133e+03 9.975195e+02 3.998588e+03 3.301165e+00
  62500.00 5.688151e+03 9.976014e+02 3.982996e+03 4.418784e+00
 117187.50 5.481971e+03 9.797771e+02 3.865714e+03 8.536587e+00
